student_id,attendance,assignment_completion,average_marks,previous_average,mathematics,physics,programming,chemistry,risk_label
S001,92,95,88,84,86,90,91,85,0
S002,87,90,79,81,75,82,85,74,0
S003,78,82,72,76,70,74,78,66,0
S004,65,60,58,68,48,62,70,55,1
S005,55,45,48,62,42,51,58,46,1
S006,95,92,91,89,93,90,94,88,0
S007,72,70,65,70,58,63,72,61,0
S008,50,40,45,59,38,49,52,41,1
S009,61,55,52,65,45,54,61,48,1
S010,89,86,84,80,81,87,86,79,0
S011,43,35,39,57,32,41,45,38,1
S012,76,78,74,72,69,71,80,68,0
S013,68,65,61,73,52,60,69,57,1
S014,94,97,93,90,95,92,96,89,0
S015,58,50,49,64,44,47,58,46,1
S016,82,80,77,75,72,78,82,71,0
S017,70,62,57,69,50,55,65,53,1
S018,91,88,86,83,84,87,90,82,0
S019,47,42,43,60,36,44,51,40,1
S020,80,75,73,71,68,72,77,65,0
